Track.Name,Artist,songId,Region,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
Hukutaan,Arttu Lindeman,0i8qXP5jTcu3dPfwZrboV3,Finland,7,,,,,,,,,,,
Loistat Pimeäs,Mikael Gabriel,3bCuspxImskpiHF3udYdFI,Finland,8,,,,,,,,,,,
Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,Finland,9,8,,,,,,,,,,
Turvasana,Jenni Vartiainen,5s6Sqm6yLoGHdFXdR9QE4F,Finland,10,,,,,,,,,,,
Liikaa Sussa Kii,Mikael Gabriel,0MEuAbpzkCXjFu2ey5vKaD,Finland,,2,9,,,,,,,,,
Hulluuden Highway,Haloo Helsinki!,1RPMDcIljymdp7dSgTfhls,Finland,,3,10,,,,,,,,,
Scared to Be Lonely,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,Finland,,4,,,,,,,,,,
Sitä säät mitä tilaat (feat. Ellinoora),JVG,5DTBkAANRc9K2B2uZ9aVCU,Finland,,5,3,,,,,,,,,
It Ain't Me (with Selena Gomez),Kygo,3eR23VReFzcdmS7TYCrhCe,Finland,,6,5,,,,,,,,,
Yhtäccii,Profeetat,4kloZeUMhzOQu5F5bBJVHS,Finland,,7,,,,,,,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3NdDpSvN911VPGivFlV5d0,Finland,,10,,,,,,,,,,
Rahan takii,Antti Tuisku,4UDDfd77rlXmNjgW1NKhWq,Finland,,,2,5,,,,,,,,
Antaudun,Reino Nordin,4waYSI6TTW0guhTJc4gWzq,Finland,,,4,1,6,,,,,,,
Symphony (feat. Zara Larsson),Clean Bandit,1x5sYLZiu9r5E43kMlt9f8,Finland,,,6,2,,,,,,,,
Urheiluhullu,JVG,0mj07aASkf2RYZR1QQ5k7l,Finland,,,7,,,,,,,,,
Mä En Kestä,Laura Voutilainen,4lLL9uT4lun5BKt3ouOhxO,Finland,,,8,9,,,,,,,,
Hula Hula,Robin,5WytJMdICvcrJF6JY0W4pl,Finland,,,,3,9,8,,,,,,
Despacito - Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cLb,Finland,,,,6,1,1,1,,,,,
Pettävällä Jäällä - Vain Elämää Kausi 6,Nikke Ankara,2C7Yzl61H8BE3EbK2Qk1sM,Finland,,,,7,4,,,,,,,
Jokainen kyynel,Profeetat,5XXd8LSfEqqhLJBUcX3O5R,Finland,,,,8,,,,,,,,
Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6,Robin,6vsB8NUCBMLuuYmsYtZSra,Finland,,,,10,7,,,,,,,
Kylmii Väreitä,Evelina,7MddwdpQ7sh3Pi1xHUSr4K,Finland,,,,,2,4,,,,,,
Karjala Takas,Portion Boys,1PZNjZOmm3ZmaWkqvmJpaY,Finland,,,,,3,7,,,,,,
Kymmenen Kirosanaa - Vain Elämää Kausi 6,Robin,2zWVKlOfppLl96FpttaPrK,Finland,,,,,5,,,,,,,
I'm the One,DJ Khaled,72Q0FQQo32KJloivv5xge2,Finland,,,,,8,,,,,,,
Sit Mennää,Teflon Brothers,1QKbpfbXQP1NY4xy6wpxJA,Finland,,,,,10,,,,,,,
Hanuri (feat. Boyat),Antti Tuisku,7CI9dousrqQ0uf4DSbaaEF,Finland,,,,,,2,3,,,,,
2U (feat. Justin Bieber),David Guetta,3A7qX2QjDlPnazUsRk5y0M,Finland,,,,,,3,7,,,,,
Riippumatto,Mikael Gabriel,5OFJyq8UpmRbU6fE3inXfg,Finland,,,,,,5,4,,,,,
More Than You Know,Axwell /\ Ingrosso,3PEgB3fkiojxms35ntsTgs,Finland,,,,,,6,,5,,,,
Juna,Spekti,5fB7KNzDNtTLWAa6D2zcBJ,Finland,,,,,,9,2,3,,,,
Summer Air,ItaloBrothers,3GPI7hYiqD6enLRobhkBm8,Finland,,,,,,10,,,,,,
Meidän biisi,Arttu Wiskari,3nSiEJPNSH86D7JTFsyyly,Finland,,,,,,,5,,,,,
More Than You Know,Axwell /\ Ingrosso,4q8PHoRsPUB52LFylX8Ulz,Finland,,,,,,,6,,,,,
Kakkuu Järvellä,Pasi ja Anssi,0chFcp7zVMi1ru2zSBYwze,Finland,,,,,,,8,4,,,,
Mi Gente,J Balvin,2rb5MvYT7ZIxbKW5hfcHx8,Finland,,,,,,,9,2,,,,
Se oikea,Jenni Vartiainen,2d8EquHi6gIpwknkCPSCKm,Finland,,,,,,,10,,,,,
EYO (feat. Nelli Matula),Profeetat,6bjQXLHkAMGq9Yjh6oIPzd,Finland,,,,,,,,1,,,,
Eikö Sua Hävetä,Tuure Boelius,4BxHfA1dWlOJ66dKvAdQPr,Finland,,,,,,,,6,,,,
Aamukuuteen (feat. Erin),Antti Tuisku,1sds1bVqBoa6lSRhl6jZHp,Finland,,,,,,,,7,,,,
Without You (feat. Sandro Cavazza),Avicii,6WbADFqMvR8N5u0BvtsWQE,Finland,,,,,,,,8,,,,
Friends (with BloodPop®),Justin Bieber,7nZmah2llfvLDiUjm0kiyz,Finland,,,,,,,,9,,,,
Me Tehtiin Tää,Robin,2bGwLlCIKzk00kcUK6QhZv,Finland,,,,,,,,10,6,,,
Älä jätä roikkuu,JVG,7m7vqt0dQ3HXHSzLPMlFg3,Finland,,,,,,,,,1,2,,
Keinu (Vain elämää kausi 7),Jenni Vartiainen,5RLL3hPFVU3wfib1YijpvE,Finland,,,,,,,,,2,9,,
Sinä ansaitset kultaa (Vain elämää kausi 7),Cheek,1pnYHu0479JaG3ESOTs0ZU,Finland,,,,,,,,,3,6,,
rockstar,Post Malone,1OmcAT5Y8eg5bUPv9qJT4R,Finland,,,,,,,,,4,8,,
Tornado,Evelina,3seNictp7GWitSNKlujwnY,Finland,,,,,,,,,5,,,
Maailman Laidalla,Mikael Gabriel,1hYSyi6LY9LkdYH0EjoFCO,Finland,,,,,,,,,7,7,,
Timantit on ikuisia (Vain elämää kausi 7),SANNI,10TGDps8gvUC2meiqne5Ju,Finland,,,,,,,,,8,,,
Matti & Teppo,JVG,4h9oBIwZ5he6rgXI2mgPEJ,Finland,,,,,,,,,9,,,
Dusk Till Dawn - Radio Edit,ZAYN,1j4kHkkpqZRBwE0A4CN4Yv,Finland,,,,,,,,,10,1,8,
rockstar,Post Malone,7wGoVu4Dady5GV0Sv4UIsx,Finland,,,,,,,,,,3,1,2
Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],SANNI,1g5ekWqRgWCxG2vX14EFzn,Finland,,,,,,,,,,4,2,
Jumala (Vain elämää kausi 7),Cheek,73s4yuT0ROuf9qKubiZPNW,Finland,,,,,,,,,,5,,
Surulapsi (Vain elämää kausi 7),Cheek,5pSSjM7U4ZIxcjdDLarOVI,Finland,,,,,,,,,,10,,
Nössö,Petri Nygård,0gySKxqIOHTVD3YObTsJug,Finland,,,,,,,,,,,3,3
Enkelit,Cheek,6hAKGURpSwL2tvmfjnkWGr,Finland,,,,,,,,,,,4,4
Wolves,Selena Gomez,7EmGUiUaOSGDnUUQUDrOXC,Finland,,,,,,,,,,,5,
Let You Down,NF,6mrKP2jyIQmM0rw6fQryjr,Finland,,,,,,,,,,,6,
"Kynnet, Kynnet",Pyhimys,5HFUJIjkg7DgP3EuWtZ1rA,Finland,,,,,,,,,,,7,
Katri Helena,Evelina,0s46bMreG8JY7LHE0lKqp1,Finland,,,,,,,,,,,9,
Manteli,Teflon Brothers,7A3vVmr5obwXQbFz4Zs8sv,Finland,,,,,,,,,,,10,
Solmussa (feat. BEHM),Pikku G,2rHVaNBkAWylDbgh9l47n5,Finland,,,,,,,,,,,,1
River (feat. Ed Sheeran),Eminem,5UEnHoDYpsxlfzWLZIc7LD,Finland,,,,,,,,,,,,5
Him & I (with Halsey),G-Eazy,5k38wzpLb15YgncyWdTZE4,Finland,,,,,,,,,,,,6
Him & I (with Halsey),G-Eazy,3YU6vJbjYUG0tiJyXf9x5V,Finland,,,,,,,,,,,,7
Monaco,Aste,6Z4UPnU2Kwvws4CYN0kZbw,Finland,,,,,,,,,,,,8
Pimeyteen,Mikael Gabriel,7rhej63k3GAokc05uB7hNf,Finland,,,,,,,,,,,,9
Kaadutaan,Nikke Ankara,7nxmy3LKlWvVNTjo7vKSi1,Finland,,,,,,,,,,,,10
Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,Norway,1,8,,,,,,,,,,
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Norway,2,1,2,3,,,,,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3NdDpSvN911VPGivFlV5d0,Norway,3,3,8,,,,,,,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,Norway,4,9,,,,,,,,,,
Castle on the Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT,Norway,5,7,,,,,,,,,,
Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,Norway,6,5,,,,,,,,,,
Hear Me Now,Alok,1a5Yu5L18qNxVhXx38njON,Norway,7,,,,,,,,,,,
Make Me (Cry),Noah Cyrus,2BrzlUj1u1CtvaJDGIKpsP,Norway,8,,,,,,,,,,,
