"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"De Vet Du"," 1"," 0.764"," 0.732"," 0.127"," 0.0873"," 3.24e-05"," 0.338"," 0.826"," "
"Dear Jane"," 1"," 0.458"," 0.755"," 0.0344"," 0.00404"," 0.0"," 0.326"," 0.352"," "
"Deeperise"," 1"," 0.664"," 0.422"," 0.0413"," 0.21"," 0.00485"," 0.0968"," 0.206"," "
"Demarco Flamenco"," 1"," 0.593"," 0.785"," 0.131"," 0.455"," 0.0"," 0.0682"," 0.765"," "
"Demi Lovato"," 4"," 0.703"," 0.63225"," 0.24575"," 0.02265"," 0.0"," 0.27749999999999997"," 0.8667499999999999"," "
"Dimitri Vegas & Like Mike"," 5"," 0.5955999999999999"," 0.9014"," 0.07905999999999999"," 0.057046"," 0.12907200000000002"," 0.21939999999999998"," 0.4888"," "
"DJ Jonathan"," 1"," 0.726"," 0.705"," 0.0636"," 0.247"," 0.0"," 0.409"," 0.39"," "
"DJ Khaled"," 3"," 0.6263333333333333"," 0.669"," 0.0474"," 0.04713333333333333"," 0.0"," 0.1396666666666667"," 0.7533333333333334"," "
"DJ Snake"," 1"," 0.476"," 0.718"," 0.0576"," 0.0784"," 1.02e-05"," 0.122"," 0.142"," "
"Don Omar"," 2"," 0.5805"," 0.8674999999999999"," 0.17115000000000002"," 0.1048"," 1.05e-05"," 0.11665"," 0.7484999999999999"," "
"Donny Montell"," 1"," 0.701"," 0.942"," 0.052"," 0.107"," 1.77e-06"," 0.119"," 0.182"," "
"Dopebwoy"," 1"," 0.849"," 0.778"," 0.217"," 0.0358"," 1.43e-06"," 0.126"," 0.634"," "
"Drake"," 18"," 0.8041666666666667"," 0.5102222222222221"," 0.14696666666666666"," 0.15678555555555554"," 0.0384298"," 0.22267222222222227"," 0.34168333333333334"," "
"DRAM"," 1"," 0.886"," 0.525"," 0.131"," 0.236"," 0.0"," 0.057"," 0.708"," "
"Dua Lipa"," 2"," 0.7989999999999999"," 0.622"," 0.08185"," 0.021455000000000002"," 7.8e-06"," 0.1177"," 0.5589999999999999"," "
"Duki"," 1"," 0.854"," 0.556"," 0.14"," 0.345"," 0.0"," 0.165"," 0.342"," "
"Eason Chan"," 1"," 0.295"," 0.269"," 0.0408"," 0.747"," 0.0"," 0.28"," 0.559"," "
"Ed Sheeran"," 18"," 0.6467222222222222"," 0.5587777777777778"," 0.06987222222222222"," 0.40631111111111107"," 2.641111111111111e-05"," 0.1330944444444444"," 0.5309444444444443"," "
"Edis"," 1"," 0.758"," 0.783"," 0.0652"," 0.0256"," 0.0"," 0.104"," 0.61"," "
"Ego"," 8"," 0.654125"," 0.799875"," 0.21484999999999999"," 0.1225375"," 0.0"," 0.33425"," 0.5458750000000001"," "
"El Alfa"," 4"," 0.76875"," 0.938"," 0.114525"," 0.23895"," 0.21896749999999998"," 0.13425"," 0.56225"," "
"El Nene La amenaza"," 2"," 0.774"," 0.5369999999999999"," 0.162"," 0.373"," 0.002155"," 0.13275"," 0.274"," "
"Ellinoora"," 1"," 0.54"," 0.623"," 0.0346"," 0.327"," 0.0859"," 0.208"," 0.476"," "
"Elton John"," 1"," 0.532"," 0.926"," 0.0357"," 0.112"," 9.84e-06"," 0.318"," 0.814"," "
"Eminem"," 9"," 0.6682222222222223"," 0.6844444444444444"," 0.31499999999999995"," 0.3706777777777778"," 0.0"," 0.3780222222222222"," 0.5528888888888889"," "
