name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Linda Vidala, 1, 0.92, 0.532, 7.282, 0.431, 0.0182, 0.0, 0.108, 0.643, 96.041, 
OneRepublic, 1, 0.593, 0.868, 3.573, 0.295, 0.183, 0.0, 0.365, 0.496, 104.988, 
Sophie Elise, 1, 0.686, 0.614, 6.478, 0.0611, 0.192, 0.0, 0.115, 0.275, 113.922, 
Louis Tomlinson, 1, 0.683, 0.53, 4.918, 0.142, 0.207, 0.0, 0.394, 0.645, 75.016, 
Marshmello, 2, 1.1560000000000001, 1.714, 6.833, 0.1206, 0.2804, 0.01640496, 0.278, 0.683, 283.98199999999997, 
Sam Smith, 4, 2.2520000000000002, 1.508, 34.188, 0.2158, 2.245, 1.96e-06, 0.6084, 1.778, 448.256, 
Logic, 2, 1.2469999999999999, 1.146, 15.526, 0.0852, 1.138, 1.52e-06, 0.388, 0.713, 200.062, 
Portugal. The Man, 1, 0.801, 0.795, 5.115, 0.0504, 0.0417, 0.000113, 0.0717, 0.754, 79.028, 
Maroon 5, 8, 6.262000000000001, 4.98, 43.575, 0.5900000000000001, 0.9632000000000001, 2.3709999999999998e-05, 0.7093999999999999, 3.387, 859.948, 
Ina Wroldsen, 1, 0.538, 0.595, 7.398, 0.112, 0.0874, 6.48e-06, 0.161, 0.334, 183.736, 
Bebe Rexha, 1, 0.643, 0.783, 6.458, 0.0856, 0.047, 0.0, 0.083, 0.579, 154.084, 
Maria Mena, 1, 0.513, 0.144, 15.021, 0.0457, 0.926, 0.0, 0.117, 0.43, 134.037, 
Kurt Nilsen, 1, 0.299, 0.222, 9.401, 0.0323, 0.877, 0.0, 0.112, 0.36, 81.172, 
Chris Rea, 1, 0.603, 0.705, 7.547, 0.0328, 0.556, 0.000123, 0.342, 0.89, 90.12, 
Karpe Diem, 2, 1.291, 1.0670000000000002, 16.095, 0.44480000000000003, 0.808, 0.001202, 0.2906, 0.573, 267.699, 
The Pogues, 1, 0.319, 0.651, 6.335, 0.0342, 0.501, 4.73e-05, 0.241, 0.474, 118.501, 
Coldplay, 4, 1.5710000000000002, 2.021, 30.265, 0.1286, 1.276, 0.00265331, 0.6066, 0.9349999999999999, 505.48199999999997, 
